Price,Close,High,Low,Open,Volume
Ticker,ORCL,ORCL,ORCL,ORCL,ORCL
Date,,,,,
2010-01-04,20.069948196411133,20.34454720423647,19.91649544722444,19.91649544722444,26795000
2010-01-05,20.045726776123047,20.069956654244976,19.66613459496624,19.96496205617552,28669900
2010-01-06,19.75496482849121,20.12648174405272,19.690353391931577,20.005335493060677,24560700
2010-01-07,19.69034767150879,19.87610684555203,19.44805523991529,19.754959089297568,30469700
2010-01-08,19.93265151977539,19.989186345795193,19.585364399415493,19.609594270763324,23542400
2010-01-11,19.940719604492188,20.02955934714078,19.682273915954806,19.940719604492188,19002400
2010-01-12,19.835731506347656,19.87611462104951,19.633820554213333,19.835731506347656,26204600
2010-01-13,20.029560089111328,20.183012800036547,19.82764919490473,19.892260619432527,24912300
2010-01-14,20.507043838500977,20.701269797376817,20.27235317346097,20.33709515975292,44685200
2010-01-15,20.42611312866211,20.74982301509683,20.223794256694095,20.61224612041576,42296200
2010-01-19,20.498945236206055,20.63652211202906,20.328998147961904,20.4908522972082,22732200
2010-01-20,20.280437469482422,20.33708649039301,19.83533669641064,20.272344531699474,39971500
2010-01-21,20.094303131103516,20.668889325097823,19.90007726855571,20.385642696710203,41756100
2010-01-22,19.54400062561035,20.272348177802787,19.511630412226634,20.183328933319817,33681500
2010-01-25,19.446880340576172,19.64110617067756,19.276931774506405,19.616827363076254,26366600
2010-01-26,19.32549476623535,19.527813604650408,19.179826499175512,19.365959460060505,28746000
2010-01-27,19.30931282043457,19.463074045276496,19.05034492220561,19.341683035927975,28819300
2010-01-28,18.99369239807129,19.56827871402852,18.84802412791803,19.48735086822986,41245700
2010-01-29,18.66189193725586,19.28503442065643,18.597149961290246,19.139364588841183,49957800
2010-02-01,18.7913761138916,18.92086006737118,18.500037990347796,18.904675730864096,29572800
2010-02-02,19.228376388549805,19.301211270381298,18.807552969872226,18.88038785170372,32150600
2010-02-03,19.220287322998047,19.293122219497118,19.034154384642665,19.220287322998047,23101100
2010-02-04,18.702356338500977,19.244570957398885,18.69426339868812,19.106994067721192,33254900
2010-02-05,19.058435440063477,19.155549169208914,18.669983610622445,18.89658128291489,45919600
2010-02-08,18.71044158935547,19.139356418183507,18.694255716381257,19.05033720396494,32929200
2010-02-09,19.02606964111328,19.196016777091543,18.81565779878016,18.993697876029394,34084100
2010-02-10,18.702356338500977,19.106994067721192,18.54859356919757,19.026066213163062,40139200
2010-02-11,18.89657974243164,19.026063675022886,18.475756189724972,18.66188914987861,28159000
2010-02-12,18.945138931274414,19.017973848221327,18.589057286597342,18.7023569038317,33657700
2010-02-16,19.268844604492188,19.301216357647256,18.969413605658545,19.17173243216728,21582200
2010-02-17,19.568279266357422,19.649207114440326,19.37405335710064,19.382146296265958,26147200
2010-02-18,19.843427658081055,19.88389079939621,19.471160274988037,19.511624959873092,31679100
2010-02-19,19.68157386779785,19.859615410997204,19.568275826540116,19.754408763912124,25941000
2010-02-22,20.0781192779541,20.215696137388406,19.77868828855421,19.900079271920927,37081800
2010-02-23,19.81105613708496,20.142858839093325,19.730128309957816,20.078116886105594,25098300
2010-02-24,20.045753479003906,20.09430957431782,19.79487697547939,19.932453865177518,24530400
2010-02-25,20.126676559448242,20.150953829561317,19.592553463409487,19.78678088573453,29145200
2010-02-26,19.948644638061523,20.199519659553395,19.85962536541198,20.199519659553395,21048700
2010-03-01,20.02147674560547,20.159053649637773,19.859622563171968,19.90817866354496,19744300
2010-03-02,19.891984939575195,20.191417451556717,19.843428858346027,20.061933539232275,23535000
2010-03-03,19.827247619628906,19.981010380307357,19.746319769610228,19.83534055898781,20726400
2010-03-04,20.037662506103516,20.118590368617614,19.649210618320556,19.80297185916969,20925500
2010-03-05,20.191425323486328,20.23188848302414,20.102404520218432,20.11859040146179,19312900
2010-03-08,19.989099502563477,20.20760264924726,19.972913626936514,20.20760264924726,16843600
2010-03-09,20.134777069091797,20.31281869623022,19.875809113513117,19.90818087974584,21835800
2010-03-10,20.126676559448242,20.248067540723838,19.972913826595114,20.061934599863253,23095900
2010-03-11,20.34518814086914,20.434208951034098,20.070034312696293,20.070034312696293,24214600
2010-03-12,20.27234649658203,20.385646092954733,20.013378636707625,20.328997066553484,35344700
2010-03-15,20.45848274230957,20.539409047748492,20.13477134627254,20.167143103304376,22025300
2010-03-16,20.401830673217773,20.563686359381535,20.150955748877145,20.539407543385906,25478300
2010-03-17,20.612241744995117,20.798376240807954,20.345180952429935,20.41801585436318,30309400
2010-03-18,20.539409637451172,20.71745121909732,20.450390390198475,20.57987433490274,29185800
2010-03-19,20.385650634765625,20.82265860977411,20.191424696587347,20.676988770247764,45881000
2010-03-22,20.685077667236328,20.79837726670451,20.36136783354919,20.385646649914566,24945500
2010-03-23,21.03307342529297,21.04116636681639,20.668900318163605,20.77410547082655,25834200
2010-03-24,20.84693717956543,21.041163115402217,20.798381081498864,21.024977234856518,28837000
2010-03-25,21.073532104492188,21.24347919715568,20.814562680537314,21.000697195187744,54350900
2010-03-26,20.790279388427734,21.041154256984523,20.53131158300526,20.79837232529342,58562200
2010-03-29,20.69317054748535,20.919768202210445,20.5636866143768,20.75791251403963,28975300
2010-03-30,20.66889190673828,20.7012621160878,20.409922514091445,20.620334277358797,29819400
2010-03-31,20.80646324157715,20.871206735018326,20.474660555540325,20.498939365580767,27196400
2010-04-01,20.60416030883789,21.000706793432496,20.385657024629285,20.86312985115321,26562700
2010-04-05,20.70126724243164,20.83075119903466,20.515134247761118,20.644618204364136,19390200
2010-04-06,20.903579711914062,20.992600483638213,20.474663272371387,20.531313836649513,26937600
2010-04-07,20.96832275390625,21.033064715713866,20.838838830291024,20.846931768463243,29833200
2010-04-08,20.903579711914062,21.10589852505437,20.81455894018991,20.944042857114106,28266100
2010-04-09,21.1463623046875,21.15445524268432,20.757910542260586,20.879301525072737,19663700
2010-04-12,21.24367332458496,21.308539438925198,20.959883494397612,21.130156464591927,24773300
2010-04-13,21.365283966064453,21.59231445347333,21.081494310274152,21.08960276290007,33933000
2010-04-14,21.38961410522461,21.486914018991207,21.24366655436921,21.35718183165552,27920000
2010-04-15,21.24367332458496,21.405837837170477,21.195022578932164,21.316647896533997,23828200
2010-04-16,21.040956497192383,21.381503821828275,21.00852268221305,21.154471756561207,42289300
2010-04-19,21.235559463500977,21.324749381442714,20.976095072161804,21.065284990103542,27078800
2010-04-20,21.203126907348633,21.413942124531843,21.097720072021957,21.389616756442678,23703400
2010-04-21,21.31662940979004,21.349061665568364,21.06527208149616,21.17878884304233,24276800
2010-04-22,21.276094436645508,21.332852063574137,20.967980941948944,21.19501144966346,27275800
2010-04-23,21.4706974029541,21.503131223496993,21.21123302472971,21.219341479865435,27478900
2010-04-26,21.46259117126465,21.576108008395014,21.28420977938814,21.486916539191835,20080500
2010-04-27,21.065282821655273,21.503130096865696,21.000416730497758,21.35718100512889,26235700
2010-04-28,20.967981338500977,21.170688036525064,20.903115256994443,21.097713501514043,31820300
2010-04-29,21.05717658996582,21.195017241543677,20.84636138481558,21.07339350109963,18620100
2010-04-30,20.976093292236328,21.162583114370552,20.830144197860108,21.138257749797972,25567400
2010-05-03,21.08960723876953,21.203122506565432,20.846358247954623,21.12203950962713,19357000
2010-05-04,20.24634552001953,20.813924923322507,20.03553035726498,20.740950384425567,48382700
2010-05-05,20.222026824951172,20.36797593969932,19.97066932887165,20.149052267577098,33663600
2010-05-06,19.386869430541992,20.24634543948448,18.000356290074286,20.15715553959924,56242000
2010-05-07,18.981460571289062,19.662555397438172,18.73821308189145,19.39498254048887,63592900
2010-05-10,19.776071548461914,20.376083388793873,19.45174103294868,19.48417485776495,38947200
2010-05-11,19.61389923095703,19.954446522877323,19.54903315375932,19.662548402222995,29469800
2010-05-12,19.946346282958984,20.02742929947494,19.613907307120495,19.63012267319976,27116300
2010-05-13,19.654436111450195,19.905791918194378,19.622003852448834,19.800385143278742,22780300
2010-05-14,19.281471252441406,19.557152622443667,19.086872911239247,19.540935707377617,28736600
2010-05-17,19.2490291595459,19.370652877273255,18.916590276044033,19.370652877273255,22401200
2010-05-18,18.9976749420166,19.419305310673142,18.900375031353704,19.297680035712112,29926200
2010-05-19,18.803068161010742,19.054423958930236,18.665227585404132,18.82739196777555,29806500
2010-05-20,18.121980667114258,18.673343180478874,18.11387221291425,18.608477093408304,40313300
2010-05-21,17.967924118041992,18.13009011789719,17.473319210360273,17.530078392880306,63119700
