Price,Close,High,Low,Open,Volume
Ticker,GE,GE,GE,GE,GE
Date,,,,,
2010-01-04,53.66404342651367,54.32398776634635,52.622019354184225,52.865158488712225,13997032
2010-01-05,53.94190979003906,54.428188025078924,53.66403967260685,53.698770672519125,13469263
2010-01-06,53.66404342651367,54.254520232128904,53.629306894638006,53.94191356338346,11573422
2010-01-07,56.44278335571289,57.24166860450231,53.59459675546132,53.76826289384229,38701038
2010-01-08,57.658470153808594,57.97107692354339,56.51224717462621,56.65118781748054,24019636
2010-01-11,58.21419143676758,58.63099659987618,57.45004310820182,58.45733054668093,15999249
2010-01-12,58.24894332885742,58.49207697336633,57.5542623442475,57.58899335223386,13484329
2010-01-13,58.45735549926758,58.76996226980224,57.55427173084998,58.21421628556999,13634482
2010-01-14,58.005828857421875,58.59630601046624,57.9363612823306,58.318435710101156,11969170
2010-01-15,57.10272216796875,58.17947191891933,56.790115439470696,57.93633826745191,15463551
2010-01-19,57.4500617980957,58.17947383559779,56.755380770718176,56.79011731037786,12665246
2010-01-20,57.31112289428711,57.93633633037952,56.72064599554862,57.31112289428711,13457787
2010-01-21,55.64387512207031,57.24163927134791,55.40073601748897,57.206902743750625,20689097
2010-01-22,55.95650863647461,58.21421812901244,55.887035547901874,57.4848059943574,33944669
2010-01-25,56.85958480834961,57.415325206117124,56.33857542067501,57.1721915468614,15683126
2010-01-26,56.790138244628906,58.005829108289554,56.47753139059764,56.7206706692372,16279190
2010-01-27,56.61643981933594,56.92904652582189,55.67861969987808,56.581703283266584,16035807
2010-01-28,56.13019561767578,57.13748389215012,55.6091859666133,57.068016307310984,16512683
2010-01-29,55.85230255126953,57.311132298349854,55.81756600821576,56.33858097680819,16934723
2010-02-01,56.44278335571289,56.7553901461491,55.9217738814979,56.26911721733192,11881324
2010-02-02,58.526798248291016,58.87413588525001,56.4080248390078,56.51222336532883,24152512
2010-02-03,57.936336517333984,59.152026856087794,57.7279283516075,58.31841078178618,14768727
2010-02-04,55.7133674621582,57.31113232307145,55.609163362487635,57.241664766469626,22973529
2010-02-05,54.845008850097656,56.23437089275097,52.96937396319025,55.713361509139744,29943678
2010-02-08,54.185081481933594,55.0186978649078,53.73353950488661,54.983961314579496,14707965
