Price,Close,High,Low,Open,Volume
Ticker,ASML,ASML,ASML,ASML,ASML
Date,,,,,
2010-01-04,32.425724029541016,32.83736165093231,32.35088307399056,32.54734367377645,1390235
2010-01-05,32.67831802368164,32.865427270278985,32.509922449713585,32.73445079766084,1094016
2010-01-06,32.97769546508789,33.108671959132465,32.64090151408612,32.668969279652096,1051204
2010-01-07,32.06086730957031,32.64090055594428,31.9579585841125,32.41637217785724,2057440
2010-01-08,31.29372215270996,31.555672340049053,31.153391597065113,31.471474556256034,3027178
2010-01-11,30.629484176635742,31.087897586021917,30.404953140877677,30.984986153981726,3055206
2010-01-12,30.676280975341797,31.115983764275775,30.526593516315412,30.854033458950287,2536765
2010-01-13,31.52760887145996,31.73342629702248,31.200169060280047,31.714715372155926,2992913
2010-01-14,31.312427520751953,31.57437766161202,31.06918830052253,31.54631265465053,1229459
2010-01-15,30.620141983032227,31.09726654018928,30.470457302261256,31.022422825818733,1860243
2010-01-19,30.63884925842285,30.704338874673535,30.152370668959477,30.264633479159595,2002924
2010-01-20,31.059844970703125,31.134688685766932,30.535944461196785,30.86338159264571,2977744
2010-01-21,31.031780242919922,31.64923540205377,30.844673701473674,31.53696982840391,2970814
2010-01-22,29.684598922729492,31.293724777607128,29.4787814899784,31.25630292656699,4554011
2010-01-25,30.217853546142578,30.4798037326382,29.974614283537317,30.302051329664486,2263261
2010-01-26,30.283355712890625,30.713704431924864,30.274001620202018,30.47046504637109,2387539
2010-01-27,30.461101531982422,30.535945248977082,29.946557847569704,30.01204472595492,1984136
2010-01-28,29.862348556518555,30.97563890325442,29.516200588630102,30.947573891576216,2451218
2010-01-29,29.235546112060547,30.311414855306932,28.992306795772507,30.23657114322752,2704240
2010-02-01,29.899776458740234,29.946555151635764,29.516206565628764,29.5442715829901,1041579
2010-02-02,30.414329528808594,30.648214800776124,30.00269177990221,30.33948580210369,2741662
2010-02-03,30.53593635559082,30.797886540810673,30.20849931105836,30.423670812795418,1726956
2010-02-04,29.029726028442383,30.255279337126254,29.011015102113404,30.236568410797275,2286361
2010-02-05,29.07649803161621,29.188763574382726,28.169027845479846,28.79583692266934,3222527
2010-02-08,28.608741760253906,29.02037675077813,28.402921517021287,28.655517714276066,1990373
2010-02-09,29.44135856628418,29.965261713788795,28.91745816674914,29.45071540268815,1836835
2010-02-10,29.4600772857666,29.591053794289344,28.936176747616237,29.366525384792087,1039731
2010-02-11,29.553621292114258,29.83428238990913,28.711637998729636,28.936166327371673,2490411
2010-02-12,29.422651290893555,29.637825579239163,28.861328972058,28.917461753535537,1403941
2010-02-16,30.077526092529297,30.14301295891382,29.170055808161916,29.319740466750776,1232539
