Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2010-01-04,23.130048751831055,23.24214886180959,22.86100734753838,22.88342793970618,38409100
2010-01-05,23.137527465820312,23.24215550039105,22.89838011611116,23.055321455251942,49749600
2010-01-06,22.995532989501953,23.227206789948955,22.808698957592636,23.077738994249284,58182400
2010-01-07,22.756393432617188,22.943227528367967,22.562085801984654,22.890912784195685,50559700
2010-01-08,22.913330078125,23.077743545474636,22.599448785598735,22.62934292080639,51197400
2010-01-11,22.621864318847656,22.988058840515016,22.509764187795284,22.950691179877225,68754700
2010-01-12,22.472400665283203,22.71902156918404,22.352826980084664,22.532187507882476,65912100
2010-01-13,22.681659698486328,22.80870694167418,22.427565212110625,22.614399309420346,51863500
2010-01-14,23.137527465820312,23.24215550039105,22.6143929946892,22.651759233544762,63228100
2010-01-15,23.062795639038086,23.346782768475354,22.95069406844613,23.227209090245907,79913200
2010-01-19,23.242149353027344,23.346775934494538,22.92826818319549,22.98058147392909,46575700
2010-01-20,22.86101531982422,23.122583284610474,22.651760662909066,23.02542877676637,54849500
2010-01-21,22.427555084228516,22.958162996768195,22.420081552659315,22.87595700036778,73086700
2010-01-22,21.642852783203125,22.569550802070495,21.553173249396924,22.420083011819504,102004600
2010-01-25,21.91189956665039,22.165994016639992,21.747486097716873,21.852112721089945,63373000
2010-01-26,22.04642105102539,22.30798904349661,21.74001327926595,21.82222072915342,66639900
2010-01-27,22.1734676361084,22.28556779378811,21.68769933587575,21.934320252943454,63949500
2010-01-28,21.79232406616211,22.322933523707743,21.590542944612473,22.300512923947544,117513700
2010-01-29,21.059932708740234,22.360297424713696,20.671317572813297,22.34535035977099,193888500
2010-02-01,21.231822967529297,21.284136277500124,20.8656283723027,21.216875900271692,85931100
2010-02-02,21.269182205200195,21.299076329869724,21.030034909565245,21.201923275554396,54413700
2010-02-03,21.396230697631836,21.515805778219967,21.0150905627106,21.11971715461601,61397900
2010-02-04,20.805843353271484,21.299085212580994,20.783422750418904,21.209404226601574,77850000
2010-02-05,20.94036293029785,21.134670534359206,20.60406103376265,20.925415862578323,80960100
2010-02-08,20.71615219116211,20.98519359151169,20.604052082826524,20.932880302650428,52820600
2010-02-09,20.93288803100586,21.179508930567884,20.738580439619003,20.902993897516772,59195800
2010-02-10,20.91793441772461,21.104768417267092,20.80583430308518,20.947828541857948,48591300
2010-02-11,21.015087127685547,21.224340277292843,20.701205977844428,20.873092900859042,65993700
2010-02-12,20.873098373413086,20.970251443283967,20.611530442395345,20.783417410475657,81117200
2010-02-16,21.286052703857422,21.30106966302251,21.038278606017645,21.120869017233538,51935600
2010-02-17,21.46624755859375,21.511296994845186,21.293556859550105,21.42119812234231,45882900
2010-02-18,21.751569747924805,21.796620631150375,21.406188235772813,21.466254647977344,42856500
2010-02-19,21.601404190063477,21.714028532665925,21.541337778535755,21.616421150969458,44451800
2010-02-22,21.571367263793945,21.72904246715336,21.511300860632264,21.653959105177258,36707100
2010-02-23,21.271039962768555,21.64645542376489,21.090840713341873,21.533831071885256,52266200
2010-02-24,21.49628448486328,21.616418726541063,21.308576790879826,21.413694073335876,43165900
2010-02-25,21.47376251220703,21.51130348172133,21.038280678198678,21.22598838996256,48735300
2010-02-26,21.526323318481445,21.66147311814409,21.406190481469398,21.511306355830843,40370600
2010-03-01,21.78911590576172,21.811639919160072,21.42120888859163,21.601408156260867,43805400
2010-03-02,21.368642807006836,21.999340761887478,21.203460554860392,21.834158509741037,93123900
2010-03-03,21.368642807006836,21.481268567025257,21.286052396981628,21.40618520437832,48442100
2010-03-04,21.49628448486328,21.51130144408501,21.22598637935242,21.36864319567069,42890600
2010-03-05,21.46624755859375,21.533822429018784,21.338606295801544,21.518805472903054,56001800
2010-03-08,21.49628448486328,21.721534576901064,21.398677114114147,21.413694073335876,39414500
2010-03-09,21.623933792114258,21.856692450068778,21.436226028529596,21.443734510924575,50271600
2010-03-10,21.751569747924805,21.856687043354906,21.623928442978148,21.66897932620372,44891400
2010-03-11,21.90924644470215,21.916754925743415,21.661472298725652,21.69150479079439,35349700
2010-03-12,21.976818084716797,22.059408499737067,21.804127342651736,22.014359052262726,31700200
2010-03-15,21.99183464050293,22.051901046730446,21.781601502658578,21.90924279490406,37512000
2010-03-16,22.05190086364746,22.141999756192657,21.924259572461704,22.089441830191948,36723500
2010-03-17,22.247121810913086,22.42732251043738,22.07443102530682,22.149514411425862,50385700
2010-03-18,22.232105255126953,22.314695687166108,22.149513390991387,22.24712078598181,43845200
2010-03-19,22.217086791992188,22.44984397363454,22.03688754503395,22.344728104266313,81332100
2010-03-22,22.224592208862305,22.29967557610059,22.06691699445229,22.149508841624016,37718200
2010-03-23,22.43482780456543,22.449844767033408,22.081937779146113,22.217087577165195,42026600
2010-03-24,22.26213264465332,22.412299375542833,22.224591677978985,22.314690570835825,33987700
2010-03-25,22.532438278198242,22.95290323341097,22.374763024933177,22.39728847028432,73168700
2010-03-26,22.26964569091797,22.67509508820158,22.217087753958175,22.592503226066835,55595500
2010-03-29,22.217086791992188,22.389777557981795,22.187052868117657,22.30718569942315,33336000
2010-03-30,22.352235794067383,22.419810688296916,22.14951111137878,22.247118496323516,34954800
2010-03-31,21.99183464050293,22.314690678915778,21.90173431511361,22.25462427268826,63760000
2010-04-01,21.894229888916016,22.179546445393534,21.488781929837902,22.036888167154775,74768100
2010-04-05,21.976818084716797,22.09695089937911,21.796618862723324,21.871700797815187,34331200
2010-04-06,22.014368057250977,22.209584318954573,21.759085363646015,21.886726710448496,47366800
2010-04-07,22.036893844604492,22.194567693730225,21.879218563382036,21.89423552961212,58318800
2010-04-08,22.4648494720459,22.50989890277323,21.999333914211526,22.01435086848583,63713800
2010-04-09,22.78020477294922,22.83276269562951,22.449838846263994,22.487381242532763,54752500
2010-04-12,22.76519012451172,22.892831420585804,22.68259827643551,22.71263219649818,37068800
2010-04-13,22.862810134887695,22.90035112126415,22.62254295294916,22.637559920338475,41374600
2010-04-14,23.14060401916504,23.275753786415073,23.02047121096413,23.11808001268739,68941200
2010-04-15,23.17815399169922,23.238220415430135,23.058019712140883,23.140611581807082,52745400
2010-04-16,23.027990341186523,23.260747585716558,22.975432392302,23.11809070505763,88703100
2010-04-19,23.3057918548584,23.46346565666497,23.095558687020016,23.103067167881704,64970300
2010-04-20,23.546052932739258,23.60611933584947,23.373360770713386,23.440935653224376,52199500
2010-04-21,23.52353286743164,23.65117418220677,23.448449488370446,23.52353286743164,55343100
2010-04-22,23.56858253479004,23.673699839263172,23.200675549374964,23.305792853848093,84847600
2010-04-23,23.245725631713867,23.71124145298145,23.012968437128272,23.36585990179614,126766600
2010-04-26,23.358348846435547,23.485990151742154,23.17064112875502,23.27575699238532,63649300
2010-04-27,23.163127899169922,23.46345989946387,23.08804454107245,23.238211257267395,68730900
2010-04-28,23.208181381225586,23.275756272067024,22.990441180144654,23.21568986155199,64557900
2010-04-29,23.275768280029297,23.59862594014586,23.02799402981609,23.22321032272603,52665200
2010-04-30,22.93037986755371,23.335827870646096,22.915362903562308,23.328319388650392,63214800
