Price,Close,High,Low,Open,Volume
Ticker,TCEHY,TCEHY,TCEHY,TCEHY,TCEHY
Date,,,,,
2010-01-05,3.8910958766937256,3.915568070338388,3.8543871694659417,3.9103239693058476,76000
2010-01-06,3.9173169136047363,3.9173169136047363,3.9068287090001217,3.9155690184242644,56000
2010-01-07,3.7582454681396484,3.7582454681396484,3.7180409801855565,3.7564971570037664,49500
2010-01-08,3.8089377880096436,3.8106860991679725,3.749505210883374,3.749505210883374,26000
2010-01-11,3.8841030597686768,3.8841030597686768,3.8683711750696945,3.8806072706181243,134000
2010-01-12,3.8159306049346924,3.8369065902190314,3.784466001867059,3.8369065902190314,67000
2010-01-13,3.8893473148345947,3.8893473148345947,3.819426527915618,3.819426527915618,35000
2010-01-14,3.922560453414917,3.9330486565155316,3.9068281487639953,3.9243083483447423,271500
2010-01-15,3.9417877197265625,3.980243896601849,3.9050790204683525,3.9505276083761456,70000
2010-01-19,3.691821575164795,3.6935694700581263,3.6096646805266857,3.662105278174042,165000
2010-01-20,3.4610822200775146,3.5240110104476923,3.4296178248924254,3.5135228092592032,1448500
2010-01-21,3.408641815185547,3.4331140081079505,3.408641815185547,3.4331140081079505,61500
2010-01-22,3.295020341873169,3.391161636136425,3.295020341873169,3.389413533040944,291500
2010-01-25,3.384169340133667,3.384169340133667,3.3142485523015237,3.3142485523015237,230000
2010-01-26,3.2250990867614746,3.2600594765832205,3.2250990867614746,3.233839184216911,73000
2010-01-27,3.172659397125244,3.205871693473881,3.146438888981032,3.205871693473881,90000
2010-01-28,3.233839273452759,3.3020121605145696,3.2320911705612896,3.242579371149373,174000
2010-01-29,3.2862796783447266,3.3037598727736595,3.253067183901541,3.302011978358979,27000
2010-02-01,3.198878526687622,3.226846711176203,3.198878526687622,3.214610617438677,38000
2010-02-02,3.242579460144043,3.242579460144043,3.200626865020659,3.200626865020659,26500
2010-02-03,3.40339732170105,3.412137419362301,3.3649407252872514,3.412137419362301,38000
2010-02-04,3.1831469535827637,3.3090045418187457,3.1831469535827637,3.3090045418187457,134500
2010-02-05,3.0747694969177246,3.1429423904819624,3.059037402915416,3.1429423904819624,302500
2010-02-08,3.0712730884552,3.1272098782726343,3.0712730884552,3.1272098782726343,97500
2010-02-09,3.067777633666992,3.067777633666992,3.0502974358530808,3.05204553898663,31000
2010-02-10,3.1359503269195557,3.1359503269195557,3.085257631516514,3.106233825857602,95000
2010-02-11,3.2932722568511963,3.2932722568511963,3.2443276620934145,3.2443276620934145,40500
2010-02-12,3.279287815093994,3.321240200049351,3.2775397122290366,3.321240200049351,104500
2010-02-16,3.3527050018310547,3.401649595834857,3.3212406050871537,3.3212406050871537,56500
2010-02-17,3.3911616802215576,3.42612207554254,3.3736812741806737,3.380673478273106,58500
2010-02-18,3.408641815185547,3.408641815185547,3.3387208174492744,3.391161617846576,80000
2010-02-19,3.2722959518432617,3.2827841533614843,3.1936350655977432,3.242579658715476,76000
2010-02-22,3.389413356781006,3.389413356781006,3.364940956618864,3.389413356781006,386500
2010-02-23,3.3754289150238037,3.391161215791896,3.3649407145117425,3.391161215791896,21000
2010-02-24,3.373680830001831,3.3911612337412453,3.3527046372470464,3.3527046372470464,40000
2010-02-25,3.342216968536377,3.345713174868841,3.2897763741142043,3.2897763741142043,126000
2010-02-26,3.4103894233703613,3.4103894233703613,3.3911613329411576,3.3911613329411576,17500
2010-03-01,3.471569776535034,3.496042173438717,3.466325884980286,3.496042173438717,28000
2010-03-02,3.5799474716186523,3.5921835662767285,3.555474865541782,3.5904352550679195,56000
2010-03-03,3.553727149963379,3.592183747082052,3.5519792554273106,3.5624674561651974,39500
2010-03-04,3.482058525085449,3.4960427243224714,3.4715703235625863,3.49079862356104,62000
2010-03-05,3.592184066772461,3.592184066772461,3.5659635625942205,3.583443759792789,43000
2010-03-08,3.595679521560669,3.618403817480282,3.595679521560669,3.6096639280746734,117500
2010-03-09,3.592184066772461,3.6184041541899266,3.583443759792789,3.6184041541899266,61500
2010-03-10,3.6551125049591064,3.7145450863084344,3.6533641936765484,3.6533641936765484,186000
2010-03-11,3.6795849800109863,3.702309277595889,3.6795849800109863,3.6988130715209935,44000
2010-03-12,3.660356283187866,3.6795843715181245,3.644623983593638,3.6795843715181245,58000
2010-03-15,3.7582454681396484,3.8106860502414164,3.7372690685946615,3.808937739105534,49500
2010-03-16,3.7582454681396484,3.775725662173571,3.7075527804130632,3.7075527804130632,56000
2010-03-17,3.7932074069976807,3.7932074069976807,3.7495066956662106,3.7495066956662106,113500
2010-03-18,3.5642154216766357,3.5659633162475104,3.5240109292212884,3.5659633162475104,436000
